[2025-01-11 13:31:37,460: INFO: main: Welcome to our custom log]
[2025-01-17 20:02:20,207: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-17 20:02:20,208: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-17 20:02:20,218: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-17 20:02:20,220: INFO: common: created directory at: artifacts_root]
[2025-01-17 20:02:20,221: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-17 20:02:20,223: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-17 20:06:19,813: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-17 20:06:21,049: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-18 22:29:21,865: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-18 22:29:21,876: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-18 22:29:21,884: INFO: common: created directory at: artifacts_root]
[2025-01-18 22:29:21,884: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-01-18 22:42:30,263: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-18 22:42:30,270: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-18 22:42:30,272: INFO: common: created directory at: artifacts_root]
[2025-01-18 22:42:30,276: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-01-18 22:42:30,933: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-01-18 22:42:31,312: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-01-18 23:09:54,304: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-18 23:09:54,312: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-18 23:09:54,322: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-18 23:09:54,326: INFO: common: created directory at: artifacts_root]
[2025-01-18 23:09:54,342: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-18 23:09:54,346: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-18 23:15:34,799: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-18 23:15:36,413: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-18 23:15:36,413: INFO: main: *******************]
[2025-01-18 23:15:36,413: INFO: main: >>>>>> stage Prepare Base Model started <<<<<<]
[2025-01-18 23:15:36,413: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-18 23:15:36,433: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-18 23:15:36,433: INFO: common: created directory at: artifacts_root]
[2025-01-18 23:15:36,437: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-01-18 23:15:36,438: ERROR: main: 'DataIngestion' object has no attribute 'get_base_model']
Traceback (most recent call last):
  File "C:\Users\Dell\python\PROJECT\MLOPS\Kidney-Disease\main.py", line 25, in <module>
    obj.main()
  File "C:\Users\Dell\python\PROJECT\MLOPS\Kidney-Disease\src\CNNclassifier\pipeline\stage_02_prepare_base_model.py", line 16, in main
    prepare_base_model.get_base_model()
AttributeError: 'DataIngestion' object has no attribute 'get_base_model'
[2025-01-18 23:28:41,152: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-18 23:28:41,167: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-18 23:28:41,167: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-18 23:28:41,167: INFO: common: created directory at: artifacts_root]
[2025-01-18 23:28:41,172: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-01-18 23:28:41,174: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-18 23:34:19,500: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-01-18 23:34:20,894: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-01-18 23:34:20,910: INFO: main: *******************]
[2025-01-18 23:34:20,910: INFO: main: >>>>>> stage Prepare Base Model started <<<<<<]
[2025-01-18 23:34:20,910: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-18 23:34:20,918: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-18 23:34:20,919: INFO: common: created directory at: artifacts_root]
[2025-01-18 23:34:20,920: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-01-18 23:34:22,911: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-01-18 23:34:23,237: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-01-18 23:34:23,443: INFO: main: Prepare Base Model completed]
[2025-01-19 01:21:11,205: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:21:11,216: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:21:11,216: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:24:46,450: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:24:46,464: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:24:46,471: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:25:31,408: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:25:31,416: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:25:31,422: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:28:54,872: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:28:54,879: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:28:54,882: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:31:07,342: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:31:07,349: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:31:07,352: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:33:05,181: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:33:05,187: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:33:05,190: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:33:53,096: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:33:53,109: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:33:53,112: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:34:20,445: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:34:20,451: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:34:20,453: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:37:31,022: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:37:31,028: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:37:31,031: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:39:58,751: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:39:58,760: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:39:58,763: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:40:20,042: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:40:20,053: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:40:20,058: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:40:50,410: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:40:50,417: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:40:50,425: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:41:08,201: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:41:08,214: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:41:08,214: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:43:35,768: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:43:35,775: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:43:35,779: INFO: common: created directory at: artifacts_root]
[2025-01-19 01:43:50,231: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-01-19 01:43:50,250: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:43:50,258: INFO: common: created directory at: artifacts_root]
[2025-02-18 19:04:33,264: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-18 19:04:33,270: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 19:04:33,291: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 19:04:33,293: INFO: common: created directory at: artifacts_root]
[2025-02-18 19:04:33,295: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-02-18 19:04:33,297: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-02-18 19:05:26,139: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-02-18 19:05:27,536: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-02-18 19:05:27,537: INFO: main: *******************]
[2025-02-18 19:05:27,538: INFO: main: >>>>>> stage Prepare Base Model started <<<<<<]
[2025-02-18 19:05:27,544: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 19:05:27,547: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 19:05:27,548: INFO: common: created directory at: artifacts_root]
[2025-02-18 19:05:27,550: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-02-18 19:05:29,417: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-18 19:05:29,686: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-18 19:05:29,833: INFO: main: Prepare Base Model completed]
[2025-02-18 19:14:44,289: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 19:14:44,297: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 19:14:44,300: INFO: common: created directory at: artifacts_root]
[2025-02-18 19:14:44,303: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 19:34:56,051: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 19:34:56,059: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 19:34:56,063: INFO: common: created directory at: artifacts_root]
[2025-02-18 19:34:56,066: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 19:38:07,567: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 19:38:07,573: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 19:38:07,575: INFO: common: created directory at: artifacts_root]
[2025-02-18 19:38:07,578: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 19:38:08,840: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-02-18 20:11:12,306: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 20:11:12,312: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 20:11:12,315: INFO: common: created directory at: artifacts_root]
[2025-02-18 20:11:12,318: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 20:11:12,790: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-02-18 20:19:24,831: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 20:19:24,837: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 20:19:24,840: INFO: common: created directory at: artifacts_root]
[2025-02-18 20:19:24,842: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 20:23:16,124: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 20:23:16,135: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 20:23:16,139: INFO: common: created directory at: artifacts_root]
[2025-02-18 20:23:16,143: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 20:23:16,611: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-02-18 20:24:57,282: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 20:24:57,291: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 20:24:57,295: INFO: common: created directory at: artifacts_root]
[2025-02-18 20:24:57,298: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 20:25:42,083: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 20:25:42,095: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 20:25:42,097: INFO: common: created directory at: artifacts_root]
[2025-02-18 20:25:42,103: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 20:25:42,764: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-02-18 20:26:59,614: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-18 20:26:59,622: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-18 20:26:59,629: INFO: common: created directory at: artifacts_root]
[2025-02-18 20:26:59,632: INFO: common: created directory at: artifacts_root\training]
[2025-02-18 20:29:55,756: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 00:21:21,146: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-19 00:21:21,153: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 00:21:21,164: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 00:21:21,171: INFO: common: created directory at: artifacts_root]
[2025-02-19 00:21:21,176: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-02-19 00:21:21,179: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-02-19 00:22:32,835: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-02-19 00:22:34,484: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-02-19 00:22:34,484: INFO: main: *******************]
[2025-02-19 00:22:34,487: INFO: main: >>>>>> stage Prepare Base Model started <<<<<<]
[2025-02-19 00:22:34,491: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 00:22:34,498: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 00:22:34,501: INFO: common: created directory at: artifacts_root]
[2025-02-19 00:22:34,507: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-02-19 00:22:35,247: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 00:22:35,802: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 00:22:35,988: INFO: main: Prepare Base Model completed]
[2025-02-19 00:22:35,988: INFO: main: *******************]
[2025-02-19 00:22:35,989: INFO: main: >>>>>> stage Training started <<<<<<]
[2025-02-19 00:22:35,995: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 00:22:36,002: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 00:22:36,005: INFO: common: created directory at: artifacts_root]
[2025-02-19 00:22:36,008: INFO: common: created directory at: artifacts_root\training]
[2025-02-19 00:24:32,843: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 00:24:33,106: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2025-02-19 13:42:42,271: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-02-19 13:42:42,277: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 13:42:42,281: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 13:42:42,282: INFO: common: created directory at: artifacts_root]
[2025-02-19 13:42:42,283: INFO: common: created directory at: artifacts_root/data_ingestion]
[2025-02-19 13:42:42,284: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-02-19 13:44:59,071: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts_root/data_ingestion/data.zip]
[2025-02-19 13:45:01,608: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-02-19 13:45:01,609: INFO: main: *******************]
[2025-02-19 13:45:01,612: INFO: main: >>>>>> stage Prepare Base Model started <<<<<<]
[2025-02-19 13:45:01,636: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 13:45:01,648: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 13:45:01,654: INFO: common: created directory at: artifacts_root]
[2025-02-19 13:45:01,660: INFO: common: created directory at: artifacts_root/prepare_base_model]
[2025-02-19 13:45:03,240: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 13:45:03,658: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 13:45:04,145: INFO: main: Prepare Base Model completed]
[2025-02-19 13:45:04,148: INFO: main: *******************]
[2025-02-19 13:45:04,149: INFO: main: >>>>>> stage Training started <<<<<<]
[2025-02-19 13:45:04,155: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 13:45:04,172: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 13:45:04,172: INFO: common: created directory at: artifacts_root]
[2025-02-19 13:45:04,185: INFO: common: created directory at: artifacts_root\training]
[2025-02-19 13:47:58,731: WARNING: saving_api: You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`. ]
[2025-02-19 13:47:58,987: INFO: main: >>>>>> stage Training completed <<<<<<

x==========x]
[2025-02-19 13:47:58,991: INFO: main: >>>>>> stage Evaluation stage started <<<<<<]
[2025-02-19 13:47:59,024: INFO: common: yaml file: configs\config.yaml loaded successfully]
[2025-02-19 13:47:59,038: INFO: common: yaml file: params.yaml loaded successfully]
[2025-02-19 13:47:59,049: INFO: common: created directory at: artifacts_root]
[2025-02-19 13:47:59,836: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-02-19 13:48:59,964: INFO: common: JSON file saved at: scores.json]
[2025-02-19 13:50:00,699: ERROR: main: When an mlflow-artifacts URI was supplied, the tracking URI must be a valid http or https URI, but it was currently set to file:///C:/Users/Dell/python/PROJECT/MLOPS/Kidney-Disease/mlruns. Perhaps you forgot to set the tracking URI to the running MLflow server. To set the tracking URI, use either of the following methods:
1. Set the MLFLOW_TRACKING_URI environment variable to the desired tracking URI. `export MLFLOW_TRACKING_URI=http://localhost:5000`
2. Set the tracking URI programmatically by calling `mlflow.set_tracking_uri`. `mlflow.set_tracking_uri('http://localhost:5000')`]
Traceback (most recent call last):
  File "C:\Users\Dell\python\PROJECT\MLOPS\Kidney-Disease\main.py", line 53, in <module>
    obj.main()
  File "C:\Users\Dell\python\PROJECT\MLOPS\Kidney-Disease\src\CNNclassifier\pipeline\stage_04_model_evaluation_with_mlflow.py", line 18, in main
    evaluation.log_into_mlflow()
  File "C:\Users\Dell\python\PROJECT\MLOPS\Kidney-Disease\src\CNNclassifier\components\model_evaluation_mlflow.py", line 73, in log_into_mlflow
    mlflow.keras.log_model(self.model, "model")
  File "C:\Users\Dell\anaconda3\envs\deep\lib\site-packages\mlflow\keras\save.py", line 339, in log_model
    return Model.log(
